jokes,labels
You drink too much. You cuss too much. You have questionable morals. You’re everything I ever wanted in a friend.,0
The fact that no one understands you doesn't mean you're an artist.,1
“Every man should have a fair-sized cemetery in which to bury the faults of his friends.”,0
I don't think you are a fool. But then what's my opinion against thousands of others?,1
Butterflies? I feel the entire zoo in my stomach when I see you.,0
"You're pathetic. Don't believe me? Ask your wife, she might tell you since she probably tells her friends what a dipsh*t you are.",1
"A teacher wanted to teach her students about self-esteem, so she asked anyone who thought they were stupid to stand up. One kid stood up and the teacher was surprised. She didn’t think anyone would stand up so she asked him, “Why did you stand up?” He answered, “I didn’t want to leave you standing up by yourself.”",1
"If you think nobody cares if you're alive, try missing a couple of car payments.",1
I like jokes about stationery but rulers are where I draw the line.,0
- What do you call a truck load of vibrators? Toys for twats,1
“Anyone who says Disneyland is the happiest place on Earth has clearly never stood next to you!”,0
"When you were born, God admitted that even He could make a mistake!",1
Light travels faster than sound. This is why some people appear bright until you hear them speak.,1
I told my wife she was drawing her eyebrows too high. She looked surprised!,0
Look people I don't like exercise so I'm not going to walk a mile in your shoes. I'll judge you standing right here.,1
"I used to play piano by ear, but now I use my hands.",0
Never ask a woman who is eating ice cream straight from the carton how she's doing.,0
Why did the frog take the bus to work today? His car got toad away.,0
"Bob: ""Why did the chicken cross the road?"" Joe: ""To get to the idiot's house."" Bob: ""Knock knock."" Joe: ""Who's there?"" Bob: ""The chicken.""",1
"A guy and girl had sex poem competition. Guy: ""Two times two is four, four plus five is nine. I can put mine in yours, but you can't put yours in mine."" Girl: ""Two times two is four, four plus five is nine. I know the length of yours, but you won't know the depth of mine.""",1
"To be happy with a man, you must understand him a lot and love him a little. To be happy with a woman, you must love her a lot and not try to understand her at all.",0
"My friend thinks he is smart. He told me an onion is the only food that makes you cry, so I threw a coconut at his face.",1
Q: What is the difference between a Harley and a vacuum cleaner? A: The location of the dirt bag.,1
"Work smarter, not for owning iPhones, but for not fearing their breaks.",0
"You're so ugly, you make blind kids cry.",1
Perhaps your whole purpose in life is simply to serve as a warning to others.,1
Did you hear the one about the lion who ate the lawyer? Had to lick his butt afterwards to get rid of the taste!,1
